tmpD/tmpGx0 0.05 1195.02868
tmpD/tmpGx0 0.05 1195.02868
tmpD/tmpGx1 0.10 1195.02868
tmpD/tmpGx2 0.15 1195.02868
tmpD/tmpGx3 0.20 1195.02868
tmpD/tmpGx4 0.25 1195.02868
tmpD/tmpGx5 0.30 1195.02868
tmpD/tmpGx6 0.35 1195.02868
tmpD/tmpGx7 0.40 1195.02868
tmpD/tmpGx8 0.45 1195.02868
tmpD/tmpGx9 0.50 1195.02868
tmpD/tmpGx10 0.55 1195.02868
tmpD/tmpGx11 0.60 1195.02868
tmpD/tmpGx12 0.65 1195.02868
tmpD/tmpGx13 0.70 1195.02868
tmpD/tmpGx14 0.75 1195.02868
tmpD/tmpGx15 0.80 1195.02868
tmpD/tmpGx16 0.85 1195.02868
tmpD/tmpGx17 0.90 1195.02868
tmpD/tmpGx18 0.95 1195.02868
tmpD/tmpGx19 1.00 1195.02868
tmpD/tmpGx20 1.05 1195.02868
tmpD/tmpGx21 1.10 1195.02868
tmpD/tmpGx22 1.15 1195.02868
tmpD/tmpGx23 1.20 1195.02868
tmpD/tmpGx24 1.25 1195.02868
tmpD/tmpGx25 1.30 1195.02868
tmpD/tmpGx26 1.35 1195.02868
